ID	Sex
SPBR_001	M
SPBR_002	M
SPBR_003	F
SPBR_004	F
SPBR_005	M
SPBR_006	F
SPBR_007	M
SPBR_008	M
SPBR_009	M
SPBR_010	M
SPBR_011	F
SPBR_012	F
SPBR_013	M
SPBR_014	F
SPBR_015	M
SPBR_016	M
SPBR_017	M
SPBR_018	M
SPBR_019	F
SPBR_020	F
SPBR_021	F
SPBR_022	M
SPBR_023	F
SPBR_024	M
SPBR_025	F
SPBR_026	F
SPBR_027	M
SPBR_028	F
SPBR_029	F
SPBR_030	F
SPBR_031	M
SPBR_032	M
SPBR_033	M
SPBR_034	M
SPBR_035	M
SPBR_036	M
SPBR_037	F
SPBR_038	M
SPBR_039	F
SPBR_040	F
SPBR_041	F
SPBR_042	F
SPBR_043	M
SPBR_044	M
SPBR_045	M
SPBR_046	M
SPBR_047	F
SPBR_048	M
SPBR_049	M
SPBR_050	F
